Nome,Endereço,Cidade,Estado,CEP,Telefone,CPF
MARIAH DA CONCEIÇÃO JR.,3941 Rodovia Matheus,União do Sul,Maranhão,60463-756,(71) 5234-9509,1507961707
,1908 Avenida Milena Roseira,Pouso Novo,Ceará,90893-783,4496715057,1510888535
,1908 Avenida Milena Roseira,Pouso Novo,Ceará,90893-783,4496715057,1510888535
GABRIELA COUTINHO NETO,6750 Avenida Arthur Henrique,Senador Cortes,Roraima,33806-737,(63) 3322-5756,1522155066
JOÃO VICTOR LOUZADA,142 Alameda Ofélia Moreira,Venda Nova do Imigrante,Amapá,68500-084,(97) 8505-7147,1531981500
MARIA SOPHIA GOMIDE,59811 Ponte Rodrigo,Caracaraí,Espírito Santo,35105150,(18) 2910-7092,1532756500
OLÍVIA BOMDIA,581 Marginal Dalila da Rosa,Santa Rita de Cássia,Tocantins,61807561,9545326598,1600554580
LUIZ LOBOS,57919 Viela João Luca Monteiro,Cascavel,Tocantins,00390-301,95921442425,1629713384
GABRIEL LIMA,s/n Marginal Levi,Três Palmeiras,Rio de Janeiro,87951-779,(83) 99344-2036,1629713384
ARTHUR MIGUEL DA TERRA,78984 Travessa Guilherme,Realeza,Sergipe,30813-648,(47) 8093-3582,1648484360
,112 Rua César Morais,Coelho Neto,Tocantins,18007-971,7452807839,1664843264
YASMIN JESUS JR.,s/n Rodovia Alessandro Gomide,Alhandra,Bahia,24685-518,(89) 1646-8716,1708775315
HELENA JESUS,81291 Avenida Talita Alves,Cafezal do Sul,Mato Grosso,84920758,(66) 9200-7906,1745348336
BÁRBARA GERALDES JR.,23228 Viela Allana Fontes,Buriti Bravo,Paraná,79186-359,(28) 8530-6320,1772465615
,12488 Avenida Margarida Ramalho,Coronel Macedo,Paraíba,54213-676,(41) 2510-7203,1774113686
ENZO MIGUEL FONTINHAS,s/n Rodovia Danilo,Feira de Santana,Maranhão,18155-120,(69) 1379-4632,1787175090
,1813 Ponte Fabiano Araújo,Maués,Rio de Janeiro,38410-241,61957528539,1855075067
DRA. LAURA RIBEIRO,68115 Avenida Luiz,Vera Cruz,São Paulo,52176755,(64) 4274-6319,1875054626
BRUNA PINHEIRA,601 Rodovia Ryan Solimões,Elisiário,Acre,84432929,(71) 1209-9722,1924966972
BRUNA PINHEIRA,601 Rodovia Ryan Solimões,Elisiário,Acre,84432929,(71) 1209-9722,1924966972
KLÉBER AMBRÓSIO,695 Viela Enzo Madeira,Inhacorá,Amapá,96736-820,84968203781,1927251222
PAULA REGUEIRA FILHO,348 Ponte Norberto Antena,Ribeirão do Largo,Ceará,62882-905,(71) 3298-4046,1928616895
GIOVANNA CARVALHO NETO,47281 Alameda Maria Flor,Cipó,Piauí,73065-892,(34) 9391-2149,1975226887
GIOVANNA CARVALHO NETO,47281 Alameda Maria Flor,Cipó,Piauí,73065-892,(34) 9391-2149,1975226887
MARIA DA CONCEIÇÃO,41243 Alameda Ana Sophia Morais,Itapejara d'Oeste,Amapá,04215-413,1979819940,2012208738
,99994 Viela Clara,Mirante do Paranapanema,Tocantins,51951-795,(43) 1412-8608,2042392227
SRTA. GABRIEL VIEIRA,971 Rua Lorena Vimaranes,Santa Rita do Sapucaí,Goiás,90875-044,4672365746,2042802905
LARA DIEGUES,s/n Rodovia Sirineu Hernandes,São Joaquim de Bicas,Paraíba,65029-912,(14) 8214-5692,2048383041
SR. ANTÔNIO DA FONSECA,s/n Marginal Allana Rios,Selvíria,Rio Grande do Norte,31008-232,(79) 7145-9819,2055494031
ENZO ALVES,s/n Viela Malu da Veiga,São Sebastião do Uatumã,Santa Catarina,92819-003,(33) 4181-8580,2081963159
STELLA LIMA,s/n Avenida Olívia,Cromínia,Alagoas,10372098,8788447652,1162053933
PIETRA ALMADA,7470 Rua Núbia da Mata,Tigrinhos,Roraima,00678-283,(73) 94733-3514,2222912571
HUGO ESTEVES,s/n Rua Alícia Marques,Lajes Pintadas,Minas Gerais,61352336,6584128966,2253006211
SR. ENZO MIGUEL ALVES,4693 Marginal Yago Grotas,Resplendor,Espírito Santo,24177-589,(65) 6593-7373,2285717660
,6680 Rodovia Víctor Palmeira,Rio Verde de Mato Grosso,Mato Grosso,32786-137,9977398717,2292181649
ISIS BARBOSA,s/n Marginal Thomas da Nóbrega,Aliança do Tocantins,Distrito Federal,48062-595,(86) 92282-8022,2308720344
ISIS BARBOSA,s/n Marginal Thomas da Nóbrega,Aliança do Tocantins,Distrito Federal,48062-595,(86) 92282-8022,2308720344
ISIS BARBOSA,s/n Marginal Thomas da Nóbrega,Aliança do Tocantins,Distrito Federal,48062-595,(86) 92282-8022,2308720344
SRA. MURILO DE BORBA,s/n Marginal Ígor Galego,Pontes e Lacerda,São Paulo,50060182,(17) 4725-4186,2317198175
SRA. BENÍCIO MENDANHA,s/n Rodovia Arthur Miguel,Itajobi,Piauí,25039-351,(87) 91033-2619,2330966806
TALITA CASTRO,4303 Avenida Vitor da Cruz,Jaborá,Mato Grosso,69156-656,9846969612,2440281093
MIRELLA ROLIM,2324 Rua Isaac da Mota,Arroio do Meio,Mato Grosso do Sul,81470-499,7136238949,2473475237
DAVI MIGUEL DA SILVEIRA JR.,2049 Marginal Bárbara,Lebon Régis,Mato Grosso,8826640,(22) 5067-2388,2476417319
DAVI MIGUEL DA SILVEIRA JR.,2049 Marginal Bárbara,Lebon Régis,Mato Grosso,8826640,(22) 5067-2388,2476417319
MARIA ALICE MANGUEIRA,4364 Alameda Luiz Miguel,Vigia,Sergipe,24459393,(11) 3984-6103,2483841988
GABRIELLY AGUIAR,87445 Ponte Enzo Miguel,Pirassununga,Mato Grosso do Sul,45213-488,(37) 98215-7829,2500204910
NATHAN CARVALHEIRA NETO,6122 Avenida Alessandra,Lafaiete Coutinho,Distrito Federal,03433-420,(18) 1427-4645,2538807778
THEO REGUEIRA,995 Marginal Pedro Miguel,Mundo Novo,Bahia,01417-339,(98) 93454-9852,2643107993
LUAN FIGUEIRA,1766 Rodovia Bruno,Santa Bárbara do Pará,Sergipe,80614-617,(37) 7479-7438,2648192921
,5397 Viela Guilherme Saraiva,Cândido Mendes,São Paulo,45879-573,(77) 99253-5548,2652844229
LUAN FREITAS JR.,s/n Travessa Lívia,Santo Antônio da Platina,Alagoas,51443-099,(89) 3135-3723,2657869831
AYLA DOS REIS,s/n Viela Davi Luca,Buriti dos Lopes,São Paulo,65967313,(95) 1023-1870,2668740452
SRA. SÍLVIA DA ROCHA,537 Travessa Bianca Rameira,Paudalho,São Paulo,48235-657,(38) 3657-9136,2741434883
SIRINEU CASTANHEIRA,3489 Ponte Ryan de Lins,Serrana,Sergipe,50431333,(98) 9349-9681,2747359115
DRA. ELISA MARQUES,s/n Marginal Hugo Rocha,Terra Nova do Norte,Santa Catarina,50509-214,(84) 9099-2558,2785523075
CLARA DA TERRA,99437 Rua Miguel,Sananduva,Espírito Santo,09513-182,(81) 1925-4480,2830076133
,52012 Travessa Luan,Jacuípe,Pernambuco,22378724,(77) 94822-3380,2839150050
CARLOS BRITES,959 Rodovia Fernando da Barra,Florânia,Piauí,81147042,(86) 8897-7013,2850304425
MAYA BRAGA,725 Rodovia Ana Júlia,Cocalinho,Santa Catarina,80069-306,(19) 3732-4751,2880091691
SRTA. MARIA FLOR SIQUEIRO,973 Travessa Tomás Ordonhes,Bela Vista do Piauí,Rio Grande do Sul,23248-112,(92) 2364-7654,2884982400
DR. MÉRCIA LEIRIA,6070 Marginal Erick Mendanha,Sardoá,Paraíba,87848-737,(99) 7239-8591,2913671608
KAUÊ TAVEIRA FILHO,92620 Rodovia Pietra Godins,Agrolândia,Alagoas,18768711,(82) 96155-5028,2960886925
TIAGO DE QUADROS,s/n Viela Djalma,Papagaios,Tocantins,46370-422,(15) 9141-9289,3016659743
DAVI LUDMER MORAIS,s/n Marginal Kléber,Senador Rui Palmeira,Espírito Santo,28264-614,89977593748,3114576494
LUCAS GABRIEL CASTANHO NETO,57950 Travessa Manuela,Jóia,Distrito Federal,38543-249,3842959138,3128203563
TOMÁS GOMES NETO,8325 Rua Célia Gabeira,Serra,Paraná,45200365,(55) 8406-1166,3144506532
FERNANDA CERQUEIRA NETO,s/n Rua André,Tufilândia,Distrito Federal,43439-685,(97) 8152-3988,3146336340
PEDRO MIGUEL PEREIRA,s/n Rodovia Lucas,São José do Mantimento,Espírito Santo,86191173,49920408479,3247312722
,3724 Marginal Rafaela,Caieiras,Mato Grosso,99212280,5334571652,3253729699
samuel da fontoura jr.,26767 Rua Eduarda Mangueira,Ivaté,Ceará,88825-277,2493419299,3259076840
josé rameira,6283 Ponte Pedro Henrique,São Sebastião da Boa Vista,Pernambuco,44696-382,8258203783,3263074865
josé rameira,6283 Ponte Pedro Henrique,São Sebastião da Boa Vista,Pernambuco,44696-382,8258203783,3263074865
emanuel farias filho,3825 Viela João Pedro Gentil,Lindoeste,Sergipe,99894748,84967305841,3274420344
emanuel farias filho,3825 Viela João Pedro Gentil,Lindoeste,Sergipe,99894748,84967305841,3274420344
emanuel farias filho,3825 Viela João Pedro Gentil,Lindoeste,Sergipe,99894748,84967305841,3274420344
pedro tobias videira,2309 Ponte Patricia,Peruíbe,Tocantins,97712-943,(18) 1437-6109,3286198765
lívia alves,838 Avenida Bento,Alumínio,Maranhão,59260-778,(49) 8938-9200,3310291200
isaac veles filho,74126 Viela Alice Mendes,Ferreira Gomes,Piauí,56696-012,(69) 4348-3366,3320989316
,1160 Ponte Bruno,Soledade,Minas Gerais,30260-925,(18) 1787-9110,3343781924
srta. fernanda silva,80641 Avenida Mariana,Apicum-Açu,Alagoas,31322-241,(27) 1660-1857,3377421548
maria valentina freitas jr.,34020 Rua Márcio,Extrema,Goiás,89554409,(81) 8664-6066,3377863990
deneval barbosa,5384 Rodovia Ana Vitória Barreira,Contendas do Sincorá,Amazonas,08167-138,(71) 8672-5668,3420418949
malu fernandes,s/n Alameda Lara,Pirangi,Rio de Janeiro,92455-508,(19) 3663-6355,3434828869
arthur esteves,609 Avenida Davi Lucca da Fronteira,Queluz,Ceará,41359-286,4385317100,3443704450
dr. sarah limeira,30783 Ponte Patricia,Iraí,Sergipe,74681-739,8295869477,3511175550
fábio espinheira filho,2890 Rua Sara Batista,Madre de Deus de Minas,São Paulo,53098-277,5393404136,3512588255
sra. alessandra matoso,8976 Rua Bruno,Santa Maria do Oeste,Paraíba,93399-078,2229115661,3527422161
fábio junqueira,348 Ponte Elísio Macedo,Santo Antônio do Retiro,Amapá,15012-997,4959224033,3548628982
sra. joana fogaça,575 Travessa Maitê,Entre Rios,Rondônia,13715-613,2810228553,3583176065
,2326 Alameda Fábio,Anhembi,Piauí,59208548,(38) 5926-6724,3600464876
,7695 Viela Maria Laura,Santana do São Francisco,Tocantins,29818-353,(64) 95038-1625,3617205054
milena siqueiro,5798 Rua Mércia Ribeiro,Boquim,Distrito Federal,61887-487,(95) 6181-5174,3628546028
sra. víctor matoso,s/n Avenida Valentina,Valparaíso de Goiás,Piauí,49254-046,99969357858,3750990697
,s/n Ponte Luan,Boa Vista do Tupim,Roraima,66662-284,(89) 3000-1013,3775969659
augusto almeida,213 Viela Juliana,Cícero Dantas,Mato Grosso,52801290,(95) 7794-6710,3798401543
srta. melissa da rosa,19137 Rodovia Hugo,Ribeira do Pombal,Distrito Federal,98203-399,46910032017,3583176065
kaique carvalheira,21392 Marginal Ana Tavares,Iconha,Paraíba,90215-425,7573027790,3852750563
mércia amoreira neto,s/n Rua Fabiano,São Sebastião do Passé,Pernambuco,79709917,3286466186,3905399377
,9488 Rodovia Maria Vitória,Paranã,Santa Catarina,29243-193,(71) 8919-9577,3923757611
laís cachoeira,440 Travessa João Vitor Guedes,Três Forquilhas,Rio Grande do Sul,78530-086,(68) 9157-9681,3929751577
joana da silveira filho,10687 Marginal Morgana,São José da Coroa Grande,Rio de Janeiro,56354-362,(95) 98785-3639,3970159920
maria laura ordonhes,3324 Travessa Laís Martim,Cachoeiras de Macacu,Minas Gerais,12802-500,(54) 8995-8462,3974715800
marli pinto,598 Rua Daniel,Pilão Arcado,Mato Grosso do Sul,88203-963,(41) 4937-9866,3976879584
aurora de lins,s/n Marginal Ana Cecília,Itumbiara,Alagoas,39653-177,(68) 1690-4348,4010158158
otávio braga,4507 Ponte Elisa Nascimento,Cajuri,Rio Grande do Sul,98692-204,(17) 8820-7530,4071576898
,s/n Ponte Antônio,Marialva,Rio Grande do Sul,29431-907,8726519293,4074408449
lucca macieira,634 Travessa Kaique Mendes,Buri,Santa Catarina,22883-410,(99) 4934-6944,4099679551
dr. ana beatriz dantas,8335 Alameda Lara Coqueiro,São Francisco de Paula,Acre,57463-439,44972848138,4113121460
paula da costa,9165 Viela Enzo Miguel,Presidente Nereu,Rio de Janeiro,30716-072,(84) 8591-3514,4131509415
,s/n Viela Maria Helena da Costa,Olho d'Água das Flores,Rondônia,40319-283,22949522203,4149241856
benício monteiro,7231 Viela Liz,Nova Iguaçu de Goiás,Sergipe,869540,(96) 3565-7550,4153623695
sophia da luz filho,841 Ponte Feliciano,Olho-d'Água do Borges,Goiás,60208-820,(65) 3868-7063,4172731260
salvador filgueira filho,80096 Viela Enzo Thiago,Paulo Frontin,Paraná,58386752,(91) 9491-4678,4184418392
beatriz silveira neto,124 Rodovia Gael Martim,Santana do Matos,Paraíba,4509021,8695435394,4189732451
vitória jaques,931 Viela João Victor,Quixadá,Rio Grande do Norte,88276-143,(31) 4397-9132,4192959410
margarida pinto,775 Viela Karla,Nazaré da Mata,Mato Grosso,34450-861,71930584776,4212479915
ryan arriaga neto,17457 Marginal Fabiano Sales,América Dourada,Roraima,45627-630,9617913635,4222280607
dra. júlia gomide,2401 Rodovia Morgana,Cambará do Sul,Mato Grosso,77113-374,(19) 4027-2900,4226204590
enrico da cruz,4259 Rodovia Matheus,Anápolis,Minas Gerais,65715-621,(95) 5065-1183,4232417109
liz peres,s/n Alameda Célia Lessa,Santa Fé,São Paulo,71118-328,(96) 5425-3485,4241185800
luan bomdia,43260 Rua Marcia Garcês,Gentil,Paraíba,63646621,(13) 3135-1379,4271357375
isis gomide neto,510 Rodovia Maitê,Imaculada,Roraima,64549-724,(68) 92335-2346,4279158991
pedro miguel pimenta filho,s/n Travessa Arthur,Terra Alta,Tocantins,97931-519,(66) 6802-1843,4301415300
,s/n Alameda Beatriz,Cristiano Otoni,Mato Grosso,28563-448,(55) 1796-2121,4303752045
laura macedo,9266 Alameda Ígor Campos,Sinop,Pará,64188-797,4986505464,4363963603
deneval guedes,361 Avenida Adriana,Delfim Moreira,Paraná,54914-128,(65) 3228-7046,4367028356
fabiano barreto,s/n Viela Ayla,Óleo,Paraíba,94558-034,7377353865,4404389264
thomas silva,64128 Rodovia Eloah Hermingues,Nhamundá,Minas Gerais,55929464,1361409544,4434964470
alice da gama,549 Rodovia Carla,Novo Oriente do Piauí,Paraná,02124-808,(93) 6212-3549,4484307545
vitória bomdia filho,58758 Viela Pérola,Montalvânia,Rio de Janeiro,31930877,6624578444,4561608419
srta. lavínia vimaranes,s/n Rua Larissa Siqueira,Mantena,Roraima,05383-892,(85) 8807-4036,4566814262
,94230 Ponte Vinícius,Poço Branco,Distrito Federal,76664793,(62) 8607-7680,4585767002
sra. pérola hermingues,6189 Marginal Yasmin,Lagoa Real,Paraíba,92385-446,(85) 8271-8889,4651506674
srta. clara silva,s/n Rua João Felipe,Gaspar,Roraima,06297-694,8668521312,4712378506
sr. alessandra albuquerque,s/n Travessa Ana Sophia da Barranca,Jardim Alegre,Tocantins,19277-778,(93) 6054-1361,4713433152
alessandro da terra,s/n Alameda João,Emas,Pernambuco,79194-481,(47) 8029-4465,4724597160
dra. enzo miguel resende,76893 Alameda Félix Viveiros,Santa Rita de Cássia,Santa Catarina,79102-123,1792851827,4806372889
isabelly regueira jr.,s/n Alameda Benjamin,Corumbaíba,Rondônia,50371-849,92937539792,4814277164
luna palhares filho,8570 Avenida Félix Goulart,Santa Vitória do Palmar,Santa Catarina,34277-189,(22) 2626-7026,4843165832
maria isis videira,s/n Rodovia Luna Marins,Guarani das Missões,Tocantins,45425-708,(35) 8718-9173,4885003628
,34664 Rodovia Enzo Thiago,Bossoroca,Rio de Janeiro,14339-312,(53) 2045-4652,4886498205
dr. luiza arantes,920 Alameda Norberto,Ouro Velho,Mato Grosso,98908-168,1794732348,5061004728
heloísa palhares,s/n Travessa Murilo,Santa Mônica,Mato Grosso do Sul,81654-419,(82) 7128-5057,5074459613
pietra barroso,44783 Rua Washington Beltrão,Lagoa da Canoa,Alagoas,90729-910,(73) 99946-2796,5093115398
sílvia taveira,21709 Travessa Marcela Ferraço,Estrela d'Oeste,Roraima,59673-497,4558083874,5093252891
marcela cruz,4151 Rua Daniel,São Bonifácio,Acre,97649-965,6186411618,5131513545
kaique corrêa jr.,s/n Marginal Sophie da Luz,Jaguari,Distrito Federal,32288-356,(34) 6815-3935,5217201258
kaique corrêa jr.,s/n Marginal Sophie da Luz,Jaguari,Distrito Federal,32288-356,(34) 6815-3935,5217201258
sophia ribas,4629 Ponte Ana Lívia da Paz,Esperantinópolis,Rio Grande do Norte,32588999,1950219899,5228479945
dr. sílvia ramos,s/n Travessa Marcia,Cristianópolis,Minas Gerais,97989-602,(13) 98146-7562,5235515846
dr. maria helena garcês,742 Avenida Talita,Morro do Chapéu,Paraná,18220431,4292054800,5236815690
sra. joão lucas da barranca,s/n Travessa Sophia Mangueira,São Lourenço do Oeste,Maranhão,02150-638,(53) 6888-4057,5293174002
srta. maria alice castanho,1853 Rodovia Yago Bomdia,Luzilândia,Roraima,53489-070,(83) 94524-3938,5310890700
vinícius gabeira neto,s/n Travessa Joana,Barreirinha,Acre,48893-865,8859116465,5348514012
igor ribeira,3138 Rua Rodrigo Datena,Gramado,Piauí,25033-829,4882827441,5379717691
malu menendes,s/n Ponte Rafael Grotas,Ipiguá,Bahia,40157-731,(14) 6648-1840,5456104946
maitê castelo,5398 Viela Yango Arantes,Bom Repouso,Mato Grosso,91634735,(83) 3987-6418,5461817831
alexandre matoso,66398 Travessa João Vitor,Carazinho,Sergipe,43145-572,(99) 9222-8020,5465773340
alexandre matoso,66398 Travessa João Vitor,Carazinho,Sergipe,43145-572,(99) 9222-8020,5465773340
,12695 Marginal Ian,Jussiape,Mato Grosso do Sul,69784-463,7482696623,5510970863
gabriela de sá,69041 Rodovia Júlio Lobos,Lebon Régis,Bahia,38639-550,(61) 5806-1613,5532107262
suélen de lins filho,91460 Rodovia Pietra,Itaju do Colônia,Espírito Santo,1049633,8795912621,5544992665
maria cecília viana,524 Avenida Vitória Gabeira,Tarauacá,Rondônia,45978-241,1898846863,5559539040
sr. henrique louzada,s/n Avenida Maria,Candeias,Pará,61744-197,1479125877,5566263623
emanuel gentil,6403 Rodovia Enrico,Lucas do Rio Verde,Rio Grande do Norte,39723-608,8642411235,5601901406
alessandra soares,s/n Travessa Giulia,Lajeado,Mato Grosso,65185612,(73) 3295-8496,5623178057
,66950 Avenida Ana Laura,Natércia,Goiás,33985-615,(16) 4315-1273,5686381828
,s/n Alameda Vitória,Major Gercino,Amapá,86389804,(47) 93996-5019,5716127843
guilherme silveira,555 Marginal Agatha Cruz,Recursolândia,Rondônia,5383169,(95) 99304-3574,5744556630
joão luca cardoso jr.,471 Rodovia Daniel,São Pedro da Serra,Sergipe,07842-286,(37) 8220-6472,5789662803
luna brites,41242 Viela Miguel Álvares,Itaporanga,Paraíba,67947-391,(47) 4059-4639,5946462512
luiz felipe ferreira,451 Alameda Henrique,Santa Bárbara do Sul,Ceará,59172179,8621122220,5948375102
lívia junqueira,25566 Marginal José da Terra,Vitória da Conquista,Mato Grosso do Sul,63266-727,(92) 95188-3950,6127152720
maria isis corrêa,3368 Avenida Ana Luiza da Fontoura,Marcelândia,Minas Gerais,88108-071,(19) 7531-4680,6130178468
júlio lobos,s/n Rodovia Arthur Henrique Pedroso,Nova Campina,Goiás,30135663,(37) 98778-2654,6133902612
marcos gentil,s/n Alameda Juliana,Gavião Peixoto,Ceará,06684-880,(93) 8610-6454,6167522103
marcos neves,7317 Avenida Aurora Antena,Maranhãozinho,Rio de Janeiro,32984-998,(41) 3157-2273,6233822882
allana almada filho,s/n Rua Fabrícia Munhoz,Santa Maria da Boa Vista,Roraima,93877655,(79) 3204-8985,6255986870
alessandra martins neto,371 Ponte André da Mota,Comodoro,Mato Grosso,23799-493,(19) 91955-5282,6279521788
